类型,用例标题,操作步骤,预期结果,重要性,优先级,复杂度,执行方式,预估执行时间,开发是否需要执行
基本功能,开启/关闭数据冷热分层功能,"1、创建存储策略并关联至少1个缓存池，创建账户与桶并绑定该策略。
2、开启数据冷热分层，上传一批会进入缓存池的小对象，等待超过配置的低频访问间隔后观察下刷。
3、关闭数据冷热分层，再次上传同规模小对象并重复观察。","1、开启后对象按最后访问时间参与分层下刷，过期冷数据会刷至数据池。
2、关闭后不再按访问时间生成/更新访问记录，也不再按访问时间进行分层下刷。",高,高,易,1,60,是
基本功能,策略与缓存池分层配置一致性,"1、创建2个存储策略和多个缓存池，分别验证：单策略多缓存池、多个策略共用同一缓存池、新增关联未开启分层缓存池。
2、在策略界面配置开启/关闭分层、修改低频访问天数。","1、同一策略下已关联缓存池的分层配置保持一致。
2、多个策略关联同一缓存池时，分层配置需一致。
3、已开启分层的策略新增关联缓存池后，新缓存池自动继承该策略分层规则。",高,高,中,1,60,是
基本功能,数据冷热分层与按上传时间下刷互斥,"1、对同一缓存池同时尝试开启“按上传时间下刷”和“按访问时间分层”配置。
2、上传小对象并持续访问其中一部分对象，等待后台扫描执行。","1、管理面应限制两种模式互斥配置。
2、运行态应仅按访问时间规则执行分层，不应再按上传时间顺序下刷。",高,高,中,1,30,是
访问时间记录,开启分层后PUT到缓存池的小对象记录访问时间,"1、开启分层，上传小于目标上限且命中缓存池的小对象。
2、检查对象元数据、fileMeta及缓存盘访问记录。","1、对象元数据与fileMeta均写入 lastAccessStamp。
2、缓存盘生成以“}”前缀保存的访问记录。",高,高,中,1,30,是
访问时间记录,PUT到数据池的大对象不记录访问时间,"1、开启分层，上传超过缓存边界的大对象或明确落到数据池的对象。
2、检查对象元数据、fileMeta及缓存/消息库中的访问记录。","1、对象直接写入数据池。
2、对象元数据与fileMeta不写 lastAccessStamp。
3、不生成访问记录。",高,高,易,1,30,是
访问时间记录,关闭分层后PUT不记录访问时间,"1、关闭分层。
2、上传命中缓存池的小对象。
3、检查对象元数据、fileMeta及访问记录。",关闭分层后 PUT 不写入 lastAccessStamp，也不产生访问记录。,高,高,易,1,30,是
访问时间记录,GET缓存池对象异步更新访问时间与访问记录,"1、开启分层并上传小对象至缓存池。
2、执行 GETObject/Range GET。
3、等待异步访问记录任务执行后检查对象元数据、fileMeta与缓存盘访问记录。","1、GET 成功返回且数据一致。
2、对象元数据与 fileMeta 的 lastAccessStamp 被异步更新。
3、旧访问记录被替换为新的访问记录。",高,高,中,1,60,是
访问时间记录,一天内多次访问仅保留当天最早一次访问记录,"1、开启分层并上传小对象至缓存池。
2、同一天内连续多次 GET 同一对象。
3、等待异步访问记录任务执行，检查最近一次写入的访问时间。",最近一天时间窗内仅保留最早的一次访问时间，不应因同一天内后续多次访问不断后移 lastAccessStamp。,高,中,中,1,60,是
访问时间记录,关闭分层后GET不更新访问时间和访问记录,"1、关闭分层。
2、GET 已在缓存池中的对象。
3、观察对象元数据、fileMeta、访问记录以及访问缓存队列。",关闭分层后 GET 不更新 lastAccessStamp，不新增访问记录。,高,高,易,1,30,是
分层下刷,低频访问间隔天数阈值下刷（默认值/自定义值）,"默认值：30天。
1、开启分层，分别构造“最后访问时间=阈值前/后/等于阈值”的对象。
2、修改 lowFrequencyAccessDays 为自定义值后重复验证。
3、等待后台扫描。","1、仅最后访问时间早于阈值的对象触发下刷。
2、最后访问时间未过期的对象保留在缓存池。
3、修改阈值后按新阈值生效。",高,高,中,1,120,是
